Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","1994","1994","ha","679355","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","1995","1995","ha","520165","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","1996","1996","ha","675565","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","1997","1997","ha","649039","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","1998","1998","ha","510372","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","1999","1999","ha","597454","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2000","2000","ha","586907","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2001","2001","ha","582000","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2002","2002","ha","362787","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2003","2003","ha","671000","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2004","2004","ha","631000","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2005","2005","ha","465832","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2006","2006","ha","618959","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2007","2007","ha","585291","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2008","2008","ha","539877","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2009","2009","ha","911942","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2010","2010","ha","1080556","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2011","2011","ha","1101785","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2012","2012","ha","1074658","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2013","2013","ha","997880","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2014","2014","ha","1205202","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2015","2015","ha","863818","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2016","2016","ha","1157754","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2017","2017","ha","1433944","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2018","2018","ha","1086006","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2019","2019","ha","841693","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2020","2020","ha","1333519","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","56","Maize (corn)","2021","2021","ha","1410102","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","1994","1994","tonnes","1020749","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","1995","1995","tonnes","737835","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","1996","1996","tonnes","1409485","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","1997","1997","tonnes","960188","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","1998","1998","tonnes","638134","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","1999","1999","tonnes","822056","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2000","2000","tonnes","1040000","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2001","2001","tonnes","802000","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2002","2002","tonnes","606172","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2003","2003","tonnes","1157860","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2004","2004","tonnes","1214000","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2005","2005","tonnes","866187","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2006","2006","tonnes","1424400","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2007","2007","tonnes","1366158","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2008","2008","tonnes","1211566","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2009","2009","tonnes","1887010","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2010","2010","tonnes","2795483","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2011","2011","tonnes","3020380","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2012","2012","tonnes","2852687","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2013","2013","tonnes","2532800","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2014","2014","tonnes","3350671","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2015","2015","tonnes","2618221","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2016","2016","tonnes","2873052","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2017","2017","tonnes","3606549","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2018","2018","tonnes","2394906.98","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2019","2019","tonnes","2004389.36","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2020","2020","tonnes","3387469.57","A","Official figure"
"QCL","Crops and livestock products","251","Zambia","5510","Production","56","Maize (corn)","2021","2021","tonnes","3620243.9","A","Official figure"
