district,correlation,rmse,ubrmse,bias
mazabuka,0.39819422081728933,1.3367859196820775,0.6002864817855041,1.1944256924756098
sesheke,-0.24997123406992797,3.0308587269755876,0.417523007916893,3.0019625515226047
siavonga,0.5702962795396829,2.1996572728943717,0.3799532849560211,2.1665935519723662
mufulira,-0.17150026090214965,0.7523892778817945,0.6527956303901256,0.3740955632121916
mwinilunga,-0.37501070504165207,0.5726916729725011,0.4339816886715282,0.37367853322053585
chiengi,-0.0365872306775942,1.4236042341690174,0.3691039933108003,1.374922273318014
livingstone,0.28732180225587506,2.640326055415356,0.7821878055250437,2.5218056855739555
chilubi,0.17749478626625884,1.259814347132204,0.32427065347350936,1.2173663099231904
lufwanyama,0.24048279577016013,1.494089361862062,0.3766521242190868,1.445834084032685
monze,0.5472469003554902,1.7856600959519071,0.47950922782282485,1.7200735096814128
mpika,0.27796621162939816,0.4207411284300788,0.2492668728317105,0.33895298090047227
nyimba,-0.08220719577207801,2.0180426597784056,0.5638043789816213,1.9376843909488073
samfya,0.5448107786933801,0.9520457513645902,0.35215288744068496,0.8845221628419244
kaputa,-0.5314955488697376,1.7106293374172412,0.6003582579099568,1.6018185578247843
mwense,-0.173329586278022,1.3349444589280541,0.25361091358016136,1.3106327528853197
mporokoso,0.04084831909847188,0.9600923236045825,0.3183655060082871,0.9057707626262473
chavuma,0.08237823851674388,1.428006320869604,0.5313918947577462,1.3254526421676918
chipata,0.3222949140423661,1.5994136033115531,0.2243844971945472,1.5835957413041992
nakonde,0.0032945516473968624,1.1598009660914634,0.40138586161056117,1.0881303557229896
shangombo,0.26570054164019447,3.01146425162254,0.31938611582155113,2.994479829255981
zambezi,0.33718302853818266,1.8290997525709585,0.39812974013197633,1.7852446932780912
chingola,0.4619912817882837,0.9488831015883008,0.6804469452183045,0.6613403777351807
kitwe,-0.20095061904476477,1.2390238868998784,0.4351967804883662,1.1600792880493314
luanshya,-0.022750836302801496,1.1221792542464655,0.42945705246821014,1.0367511363613113
itezhitezhi,-0.4796888759906748,1.8931062605073752,0.6648616789824128,1.772515235870458
lusaka,-0.20409525234238096,1.9104665333843582,1.8791387074049843,0.3445578231791755
ndola,0.013708321113845868,1.056981015220749,0.4176737056027824,0.9709570238610592
petauke,0.28612690051767814,2.082330225883998,0.2524530868707298,2.0669703937307715
sinazongwe,0.28337421677191527,2.335272504907141,0.45744610353548437,2.290030727858357
milengi,0.15065268775536061,0.9579293503002807,0.2741298702715698,0.9178678850420744
gwembe,0.5215688268248819,1.9033432819642728,0.7314416638906431,1.7571877365049577
ikelenge,-0.38806167947957065,1.151461754127087,0.4228622946078367,1.0711355689413644
kaoma,0.45298092801114265,1.9783952596445074,0.36466471435044145,1.9444967085319451
kapirimposhi,0.3812500682626802,1.1678034318244614,0.3858557751818134,1.1022160297055346
kawambwa,-0.21147004772738104,0.7126957284377718,0.37071739982267515,0.6086902420789749
kazungula,0.2768906273202883,2.188486250652953,0.26154946751739233,2.1728009447113164
mansa,0.10045791129308182,0.8510873970405295,0.31060436768096994,0.7923854391511297
katete,0.4782078464939751,2.142561037856774,0.22479465168124163,2.130735827247809
masaiti,-0.4186627146021905,1.4408797506616606,0.436055905279261,1.3733134031741967
mungwi,0.11452137123287692,0.6466569270858633,0.2479540064829101,0.5972302671643529
chibombo,0.33287888370586766,1.4661288821981138,0.3190282669611072,1.4309978560764105
luwingu,0.48649665981331675,0.5555369095440769,0.30456961240761515,0.4646058642157446
luangwa,-0.06772883206156244,2.90948815962997,0.33586667267970255,2.8900371847452164
namwala,0.2294672019448397,2.078712922046665,0.5357197427740131,2.0084949015334668
mambwe,0.5018935363503935,2.1058118020916106,0.3200289339903824,2.0813516827382386
mafinga,0.07505796967031346,0.3862510657855122,0.37629125672228014,-0.0887558687696829
kalabo,0.11255331412934245,2.9196559914210094,0.24412520221596026,2.9094319022592043
lukulu,0.38548665990501885,2.493931817127041,0.4305375329178166,2.4564880095835244
chinsali,0.7355460566686038,0.5896744742709197,0.28508052516917964,0.5161831843211769
isoka,0.23354187170760413,0.6629780141381318,0.2885116711158951,0.596909426010726
kabompo,-0.3358953852292777,1.201818786365158,0.4096181996809214,1.1298589848960718
mpulungu,0.5483512193551587,1.4675318965988298,0.6303031524544257,1.3252802735802611
chadiza,0.33007105789975877,1.4976544319671228,0.3371898279418608,1.4592024594014716
mpongwe,-0.11724085205124816,0.7850924449452145,0.30849838241175287,0.721941060724064
mufumbwe,-0.2463833263597092,1.3099254204113813,0.3501713703477276,1.262253785270113
chama,0.044019071262137895,1.4431726023406424,0.5246251576577965,1.3444387691892832
lundazi,0.27221092712745737,1.4436117019134087,0.35853730166218795,1.398379687072909
chililabombwe,-0.30220132591639526,1.2705730779676656,0.5576981206693409,1.1416342464459066
kabwe,0.4611957573595765,1.0214101215587,0.6700468947750069,0.7709187993718464
nchelenge,-0.2709990242405908,1.3898659187497415,0.45423588541819326,1.3135436926499295
kafue,0.513453051340556,1.1848675586587858,0.48438644226370897,1.0813329302824075
chongwe,0.0243755996170089,1.1940974892444436,0.3225177656339965,1.1497178369801602
mkushi,0.24783683559461003,0.583330503672538,0.5709245112854451,0.11966486087541602
senanga,0.20836139441005705,3.053119463640803,0.23497687859986147,3.0440637847761614
solwezi,-0.5984705760412508,1.9422927451626344,0.4666339658771843,1.8854054868386092
choma,0.5416661876696208,1.7790806859804764,0.6770100475027208,1.6452311335521
mbala,0.4794913762725239,1.5186269369611878,0.4773086571712892,1.441667166669707
mumbwa,0.15594885819067456,1.7324386380379453,0.48837746802940735,1.6621766101374293
kasama,0.3416870189091001,0.5591746564055216,0.33177352888609557,0.45011400988716205
kalulushi,0.20400564376915367,0.9025025905276283,0.33798748441419846,0.8368245851362411
kasempa,0.38178190423979186,0.7316897287752193,0.23979182444257818,0.6912812308501176
serenje,0.15905635783029343,0.8226751272261327,0.29221960329484314,0.769026702011535
kalomo,0.2980462671020357,1.8219773380745534,0.4742939481306919,1.759160786063581
mongu,0.04552390920175155,2.895200654537579,0.23189030126983948,2.885899117816111
